rating,title,year,duration,genre,release,url
9.3,The Shawshank Redemption ,1994,2h 22min,"Drama, ",14 October 1994 (USA),https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
8.5,Cinema Paradiso ,1988,2h 35min,"Drama, Romance",23 February 1990 (USA),https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
8.5,Léon: The Professional ,1994,1h 50min,"Action, Crime, Drama",18 November 1994 (USA),https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
8.5,The Pianist ,2002,2h 30min,"Biography, Drama, Music",28 March 2003 (USA),https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
8.5,Gladiator ,2000,2h 35min,"Action, Adventure, Drama",5 May 2000 (USA),https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
8.5,American History X ,1998,1h 59min,"Drama, ",20 November 1998 (USA),https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
8.5,Terminator 2: Judgment Day ,1991,2h 17min,"Action, Sci-Fi",3 July 1991 (USA),https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
8.5,The Departed ,2006,2h 31min,"Crime, Drama, Thriller",6 October 2006 (USA),https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
8.5,The Intouchables ,2011,1h 52min,"Biography, Comedy, Drama",2 November 2011 (France),https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
8.5,The Usual Suspects ,1995,1h 46min,"Crime, Mystery, Thriller",16 August 1995 (USA),https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
8.5,The Prestige ,2006,2h 10min,"Drama, Mystery, Sci-Fi",20 October 2006 (USA),https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
8.5,Hamilton ,2020,2h 40min,"Biography, Drama, History",3 July 2020 (USA),https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt
8.6,It's a Wonderful Life ,1946,2h 10min,"Drama, Family, Fantasy",7 January 1947 (USA),https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt
8.5,Raatchasan ,2018,2h 50min,"Action, Crime, Thriller",5 October 2018 (USA),https://www.imdb.com/title/tt7060344/?ref_=adv_li_tt
,,,,,,"https://www.imdb.com/search/title/?groups=top_250&sort=user_rating,desc&start=51&ref_=adv_nxt"
8.5,Whiplash ,2014,1h 46min,"Drama, Music",15 October 2014 (Philippines),https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
8.5,Once Upon a Time in the West ,1968,2h 45min,"Western, ",4 July 1969 (USA),https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt
8.5,Casablanca ,1942,1h 42min,"Drama, Romance, War",23 January 1943 (USA),https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
8.5,Psycho ,1960,1h 49min,"Horror, Mystery, Thriller",8 September 1960 (USA),https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt
8.6,Seven Samurai ,1954,3h 27min,"Action, Adventure, Drama",19 November 1956 (USA),https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt
8.5,Back to the Future ,1985,1h 56min,"Adventure, Comedy, Sci-Fi",3 July 1985 (USA),https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
8.5,The Lion King ,1994,1h 28min,"Animation, Adventure, Drama",24 June 1994 (USA),https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
8.6,Star Wars: Episode IV - A New Hope ,1977,2h 1min,"Action, Adventure, Fantasy",25 May 1977 (USA),https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt
8.5,Grave of the Fireflies ,1988,1h 29min,"Animation, Drama, War",26 July 1989 (USA),https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
8.6,Life Is Beautiful ,1997,1h 56min,"Comedy, Drama, Romance",20 December 1997 (Italy),https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt
8.6,Spirited Away ,2001,2h 5min,"Animation, Adventure, Family",28 March 2003 (USA),https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt
8.6,Se7en ,1995,2h 7min,"Crime, Drama, Mystery",22 September 1995 (USA),https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt
8.6,The Silence of the Lambs ,1991,1h 58min,"Crime, Drama, Thriller",14 February 1991 (USA),https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt
8.6,Hara-Kiri ,1962,2h 13min,"Action, Drama, Mystery",4 August 1964 (USA),https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt
8.3,Reservoir Dogs ,1992,1h 39min,"Crime, Drama, Thriller",2 September 1992 (France),https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
8.6,The Green Mile ,1999,3h 9min,"Crime, Drama, Fantasy",10 December 1999 (USA),https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt
8.3,Full Metal Jacket ,1987,1h 56min,"Drama, War",10 July 1987 (USA),https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
8.3,Good Will Hunting ,1997,2h 6min,"Drama, Romance",9 January 1998 (USA),https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
8.3,American Beauty ,1999,2h 2min,"Drama, ",1 October 1999 (USA),https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
8.3,Braveheart ,1995,2h 58min,"Biography, Drama, History",24 May 1995 (USA),https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
8.3,Requiem for a Dream ,2000,1h 42min,"Drama, ",15 December 2000 (USA),https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
8.3,Snatch ,2000,1h 42min,"Comedy, Crime",19 January 2001 (USA),https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
,,,,,,"https://www.imdb.com/search/title/?groups=top_250&sort=user_rating,desc&start=101&ref_=adv_nxt"
8.3,Toy Story ,1995,1h 21min,"Animation, Adventure, Comedy",22 November 1995 (USA),https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
8.6,Saving Private Ryan ,1998,2h 49min,"Drama, War",24 July 1998 (USA),https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt
8.3,Amélie ,2001,2h 2min,"Comedy, Romance",8 February 2002 (USA),https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
8.3,Inglourious Basterds ,2009,2h 33min,"Adventure, Drama, War",21 August 2009 (USA),https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
8.3,My Father and My Son ,2005,1h 52min,"Drama, Family",18 November 2005 (Turkey),https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt
8.3,Children of Heaven ,1997,1h 29min,"Drama, Family, Sport",22 January 1999 (USA),https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
8.3,Eternal Sunshine of the Spotless Mind ,2004,1h 48min,"Drama, Romance, Sci-Fi",19 March 2004 (USA),https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
8.4,The Great Dictator ,1940,2h 5min,"Comedy, Drama, War",7 March 1941 (USA),https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
8.3,Andhadhun ,2018,2h 19min,"Crime, Drama, Music",5 October 2018 (USA),https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt
8.3,1917 ,2019,1h 59min,"Drama, Thriller, War",10 January 2020 (USA),https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt
8.4,Sunset Blvd. ,1950,1h 50min,"Drama, Film-Noir",29 September 1950 (Australia),https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
8.4,Paths of Glory ,1957,1h 28min,"Drama, War",25 December 1957 (USA),https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
,,,,,,"https://www.imdb.com/search/title/?groups=top_250&sort=user_rating,desc&start=151&ref_=adv_nxt"
8.3,A Separation ,2011,2h 3min,"Drama, ",16 March 2011 (Iran),https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
8.2,Casino ,1995,2h 58min,"Crime, Drama",22 November 1995 (USA),https://www.imdb.com/title/tt0112641/?ref_=adv_li_tt
8.2,Indiana Jones and the Last Crusade ,1989,2h 7min,"Action, Adventure",24 May 1989 (USA),https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt
8.4,Rear Window ,1954,1h 52min,"Mystery, Thriller",1 September 1954 (USA),https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt
8.2,Heat ,1995,2h 50min,"Crime, Drama, Thriller",15 December 1995 (USA),https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt
8.2,Unforgiven ,1992,2h 10min,"Drama, Western",7 August 1992 (USA),https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt
8.3,The Hunt ,2012,1h 55min,"Drama, ",10 January 2013 (Denmark),https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
8.2,L.A. Confidential ,1997,2h 18min,"Crime, Drama, Mystery",19 September 1997 (USA),https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt
8.3,Incendies ,2010,2h 11min,"Drama, Mystery, War",12 January 2011 (France),https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
8.2,The Bandit ,1996,2h 8min,"Crime, Drama, Thriller",29 November 1996 (Turkey),https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt
8.2,"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,"Action, Comedy, Crime",28 August 1998 (UK),https://www.imdb.com/title/tt0120735/?ref_=adv_li_tt
8.2,Rang De Basanti ,2006,2h 47min,"Comedy, Crime, Drama",26 January 2006 (USA),https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt
8.2,Downfall ,2004,2h 36min,"Biography, Drama, History",8 April 2005 (USA),https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt
8.2,Howl's Moving Castle ,2004,1h 59min,"Animation, Adventure, Family",17 June 2005 (USA),https://www.imdb.com/title/tt0347149/?ref_=adv_li_tt
8.2,A Beautiful Mind ,2001,2h 15min,"Biography, Drama",4 January 2002 (USA),https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt
8.1,Into the Wild ,2007,2h 28min,"Adventure, Biography, Drama",19 October 2007 (USA),https://www.imdb.com/title/tt0758758/?ref_=adv_li_tt
8.1,How to Train Your Dragon ,2010,1h 38min,"Animation, Action, Adventure",26 March 2010 (USA),https://www.imdb.com/title/tt0892769/?ref_=adv_li_tt
8.2,Batman Begins ,2005,2h 20min,"Action, Adventure",15 June 2005 (USA),https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt
8.1,Mary and Max ,2009,1h 32min,"Animation, Comedy, Drama",12 March 2010 (USA),https://www.imdb.com/title/tt0978762/?ref_=adv_li_tt
,,,,,,"https://www.imdb.com/search/title/?groups=top_250&sort=user_rating,desc&start=201&ref_=adv_nxt"
8.1,Hachi: A Dog's Tale ,2009,1h 33min,"Biography, Drama, Family",12 March 2010 (UK),https://www.imdb.com/title/tt1028532/?ref_=adv_li_tt
8.1,No Country for Old Men ,2007,2h 2min,"Crime, Drama, Thriller",21 November 2007 (USA),https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt
8.1,Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,"Adventure, Drama, Fantasy",15 July 2011 (USA),https://www.imdb.com/title/tt1201607/?ref_=adv_li_tt
8.1,Gran Torino ,2008,1h 56min,"Drama, ",9 January 2009 (USA),https://www.imdb.com/title/tt1205489/?ref_=adv_li_tt
8.2,V for Vendetta ,2005,2h 12min,"Action, Drama, Sci-Fi",17 March 2006 (USA),https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt
8.1,Spotlight ,2015,2h 9min,"Biography, Crime, Drama",20 November 2015 (USA),https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt
8.1,Prisoners ,2013,2h 33min,"Crime, Drama, Mystery",20 September 2013 (USA),https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt
8.1,Ford v Ferrari ,2019,2h 32min,"Action, Biography, Drama",15 November 2019 (USA),https://www.imdb.com/title/tt1950186/?ref_=adv_li_tt
8.1,12 Years a Slave ,2013,2h 14min,"Biography, Drama, History",8 November 2013 (USA),https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt
8.1,Rush ,2013,2h 3min,"Action, Biography, Drama",27 September 2013 (USA),https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt
8.1,Inside Out ,2015,1h 35min,"Animation, Adventure, Comedy",19 June 2015 (USA),https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt
8.1,Mad Max: Fury Road ,2015,2h,"Action, Adventure, Sci-Fi",15 May 2015 (USA),https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt
8.1,The General ,1926,1h 7min,"Action, Adventure, Comedy",2 January 1927 (USA),https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt
8.1,Hacksaw Ridge ,2016,2h 19min,"Biography, Drama, History",4 November 2016 (USA),https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt
8.1,Gone Girl ,2014,2h 29min,"Drama, Mystery, Thriller",3 October 2014 (USA),https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt
8.1,It Happened One Night ,1934,1h 45min,"Comedy, Romance",22 February 1934 (USA),https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt
8.1,Mr. Smith Goes to Washington ,1939,2h 9min,"Comedy, Drama",19 October 1939 (USA),https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt
8.1,Soul ,2020,1h 40min,"Animation, Adventure, Comedy",25 December 2020 (USA),https://www.imdb.com/title/tt2948372/?ref_=adv_li_tt
8.1,The Passion of Joan of Arc ,1928,1h 54min,"Biography, Drama, History",25 October 1928 (France),https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt
8.1,The Grand Budapest Hotel ,2014,1h 39min,"Adventure, Comedy, Crime",28 March 2014 (USA),https://www.imdb.com/title/tt2278388/?ref_=adv_li_tt
8.1,The Third Man ,1949,1h 33min,"Film-Noir, Mystery, Thriller",12 October 1949 (France),https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt
8.1,Rebecca ,1940,2h 10min,"Drama, Mystery, Romance",12 April 1940 (USA),https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt
8.1,On the Waterfront ,1954,1h 48min,"Crime, Drama, Thriller",22 June 1954 (Japan),https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt
