title,url,discounted_price,original_price
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Silver,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-silver-p-15516.html,$9.59,$31.77 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-black-p-12623.html,$5.86,$49.21 
4 x Authentic Uwell Crown 5 FeCrAl UN2-2 Dual Meshed Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-2-dual-meshed-coil-03ohm-p-20281.html,,$18.92
2 x Authentic Uwell Valyrian II FeCrAl UN2 Single Meshed Coil 0.32ohm,https://www.cigabuy.com/2-x-authentic-uwell-valyrian-ii-fecral-un2-single-meshed-coil-032ohm-p-15097.html,$6.45,$8.83 
4 x Authentic Uwell Crown 5 FeCrAl UN2 Single Meshed Coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-single-meshed-coil-023ohm-p-20280.html,,$14.93
4 x Authentic Uwell Crown 5 FeCrAl UN2-3 Triple Meshed Coil 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-3-triple-meshed-coil-02ohm-p-20282.html,,$22.91
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$11.71,$37.32 
Authentic Wismec Luxotic 100W BF Squonk Kit - Swirled Metallic Resin,https://www.cigabuy.com/authentic-wismec-luxotic-100w-bf-squonk-kit-swirled-metallic-resin-p-12075.html,$14.30,$42.45 
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,,$14.57
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Black,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-black-p-20264.html,,$34.86
5 x Authentic VOOPOO PnP-VM3 Single Mesh Coil 0.45ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm3-single-mesh-coil-045ohm-p-18288.html,$9.41,$13.52 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-blue-p-20265.html,,$34.86
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,,$79.11
Authentic Freemax Maxus 200W  Kit - Blue - Yellow,https://www.cigabuy.com/authentic-freemax-maxus-200w-kit-blue-yellow-p-19159.html,$50.31,$80.02 
Authentic VOOPOO DRAG Max 177W Kit with PNP Tank - Classic,https://www.cigabuy.com/authentic-voopoo-drag-max-177w-kit-with-pnp-tank-classic-p-20053.html,$38.52,$40.55 
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$25.16,$42.63 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Silver,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-silver-p-20268.html,,$34.86
